AAAA-MM-DD HH-MM-SS.ssssss	Value
2017-04-19 21:26:44.506056	2874
2017-04-19 21:26:44.509557	2894
2017-04-19 21:26:44.509794	2892
2017-04-19 21:26:45.009512	3890
2017-04-19 21:26:45.013538	3898
2017-04-19 21:26:45.014016	3894
2017-04-19 21:26:45.014315	3901
2017-04-19 21:26:45.014457	3906
2017-04-19 21:26:45.014591	3903
2017-04-19 21:26:45.017638	3907
2017-04-19 21:26:45.017938	3908
2017-04-19 21:26:45.018220	3906
2017-04-19 21:26:45.018499	3914
2017-04-19 21:26:45.021682	3914
2017-04-19 21:26:45.022071	3916
2017-04-19 21:26:45.521636	4095
2017-04-19 21:26:45.522052	4095
2017-04-19 21:26:45.525799	4095
2017-04-19 21:26:45.526215	4095
2017-04-19 21:26:45.526575	4095
2017-04-19 21:26:45.526929	4095
2017-04-19 21:26:45.529921	4095
2017-04-19 21:26:45.530481	4095
2017-04-19 21:26:45.530883	4095
2017-04-19 21:26:45.531364	4095
2017-04-19 21:26:45.533451	4095
2017-04-19 21:26:45.533879	4095
2017-04-19 21:26:46.033906	3787
2017-04-19 21:26:46.034366	3798
2017-04-19 21:26:46.037792	3778
2017-04-19 21:26:46.038263	3778
2017-04-19 21:26:46.038683	3770
2017-04-19 21:26:46.039086	3771
2017-04-19 21:26:46.039434	3763
2017-04-19 21:26:46.041681	3762
2017-04-19 21:26:46.041932	3759
2017-04-19 21:26:46.042178	3760
2017-04-19 21:26:46.042418	3755
2017-04-19 21:26:46.046363	3752
2017-04-19 21:26:46.047121	3747
2017-04-19 21:26:46.545677	2093
2017-04-19 21:26:46.546185	2087
2017-04-19 21:26:46.549831	2086
2017-04-19 21:26:46.550349	2089
2017-04-19 21:26:46.550706	2086
2017-04-19 21:26:46.550936	2075
2017-04-19 21:26:46.553862	2086
2017-04-19 21:26:46.554201	2089
2017-04-19 21:26:46.554500	2138
2017-04-19 21:26:46.554792	2087
2017-04-19 21:26:46.557641	2092
2017-04-19 21:26:46.557975	2092
2017-04-19 21:26:47.057499	3782
2017-04-19 21:26:47.057794	3785
2017-04-19 21:26:47.061657	3787
2017-04-19 21:26:47.061924	3787
2017-04-19 21:26:47.062158	3793
2017-04-19 21:26:47.561488	3493
2017-04-19 21:26:47.565695	3488
2017-04-19 21:26:47.566160	3485
2017-04-19 21:26:47.566572	3485
2017-04-19 21:26:47.567253	3482
2017-04-19 21:26:47.569782	3477
2017-04-19 21:26:47.570229	3476
2017-04-19 21:26:47.570509	3458
2017-04-19 21:26:47.570753	3468
2017-04-19 21:26:47.573611	3464
2017-04-19 21:26:47.574084	3461
2017-04-19 21:26:47.574424	3454
2017-04-19 21:26:47.574796	3451
2017-04-19 21:26:47.575096	3446
2017-04-19 21:26:47.577756	3449
2017-04-19 21:26:47.577963	3442
2017-04-19 21:26:47.578131	3432
2017-04-19 21:26:47.578297	3431
2017-04-19 21:26:47.581736	3433
2017-04-19 21:26:47.581955	3433
2017-04-19 21:26:48.081796	1537
2017-04-19 21:26:48.082313	1529
2017-04-19 21:26:48.086273	1529
2017-04-19 21:26:48.086726	1535
2017-04-19 21:26:48.087004	1535
2017-04-19 21:26:48.087253	1530
2017-04-19 21:26:48.090052	1531
2017-04-19 21:26:48.090547	1527
2017-04-19 21:26:48.090970	1526
2017-04-19 21:26:48.091341	1533
2017-04-19 21:26:48.091610	1534
2017-04-19 21:26:48.093792	1527
2017-04-19 21:26:48.593890	3465
2017-04-19 21:26:48.594414	3455
2017-04-19 21:26:48.597918	3461
2017-04-19 21:26:48.598441	3454
2017-04-19 21:26:48.598906	3465
2017-04-19 21:26:48.599356	3477
2017-04-19 21:26:48.599846	3465
2017-04-19 21:26:48.602139	3470
2017-04-19 21:26:48.602635	3477
2017-04-19 21:26:48.603089	3478
2017-04-19 21:26:48.603534	3476
2017-04-19 21:26:48.605896	3481
2017-04-19 21:26:48.606189	3479
2017-04-19 21:26:49.105532	2676
2017-04-19 21:26:49.105770	2660
2017-04-19 21:26:49.109707	2653
2017-04-19 21:26:49.109936	2649
2017-04-19 21:26:49.110146	2638
2017-04-19 21:26:49.110354	2634
2017-04-19 21:26:49.113782	2633
2017-04-19 21:26:49.114003	2632
2017-04-19 21:26:49.114212	2621
2017-04-19 21:26:49.114417	2620
2017-04-19 21:26:49.117931	2617
2017-04-19 21:26:49.118191	2581
2017-04-19 21:26:49.617870	1745
2017-04-19 21:26:49.618412	1746
2017-04-19 21:26:49.622031	1755
2017-04-19 21:26:49.622456	1765
2017-04-19 21:26:49.622825	1767
2017-04-19 21:26:49.623121	1771
2017-04-19 21:26:49.626008	1776
2017-04-19 21:26:49.626456	1779
2017-04-19 21:26:49.626841	1784
2017-04-19 21:26:50.125703	3731
2017-04-19 21:26:50.129808	3729
2017-04-19 21:26:50.130199	3731
2017-04-19 21:26:50.130555	3736
2017-04-19 21:26:50.130914	3732
2017-04-19 21:26:50.133755	3734
2017-04-19 21:26:50.134168	3714
2017-04-19 21:26:50.134519	3737
2017-04-19 21:26:50.134865	3734
2017-04-19 21:26:50.135206	3735
2017-04-19 21:26:50.138002	3740
2017-04-19 21:26:50.138467	3738
2017-04-19 21:26:50.138899	3757
2017-04-19 21:26:50.139322	3740
2017-04-19 21:26:50.141951	3739
2017-04-19 21:26:50.142243	3738
2017-04-19 21:26:50.641826	1884
2017-04-19 21:26:50.642181	1966
2017-04-19 21:26:50.645993	1943
2017-04-19 21:26:50.646316	1936
2017-04-19 21:26:50.646612	1939
2017-04-19 21:26:50.646899	1932
2017-04-19 21:26:50.649940	1930
2017-04-19 21:26:50.650277	1924
2017-04-19 21:26:50.650567	1917
2017-04-19 21:26:50.650848	1918
2017-04-19 21:26:50.651126	1917
2017-04-19 21:26:51.153647	2900
2017-04-19 21:26:51.153799	2886
2017-04-19 21:26:51.153914	2914
2017-04-19 21:26:51.157662	2921
2017-04-19 21:26:51.157831	2927
2017-04-19 21:26:51.158041	2930
2017-04-19 21:26:51.158233	2937
2017-04-19 21:26:51.158357	2937
2017-04-19 21:26:51.161878	2952
2017-04-19 21:26:51.162055	2956
2017-04-19 21:26:51.162209	2972
2017-04-19 21:26:51.162360	2972
2017-04-19 21:26:51.165946	2972
2017-04-19 21:26:51.166135	2975
2017-04-19 21:26:51.665802	3856
2017-04-19 21:26:51.666145	3840
2017-04-19 21:26:51.670116	3842
2017-04-19 21:26:51.670428	3840
2017-04-19 21:26:51.670661	3836
2017-04-19 21:26:51.670894	3839
2017-04-19 21:26:51.674282	3832
2017-04-19 21:26:51.674718	3830
2017-04-19 21:26:51.675102	3825
2017-04-19 21:26:51.675481	3817
2017-04-19 21:26:51.678001	3816
2017-04-19 21:26:51.678353	3817
2017-04-19 21:26:51.678729	3809
2017-04-19 21:26:51.679062	3812
2017-04-19 21:26:51.679413	3809
2017-04-19 21:26:52.181962	1530
2017-04-19 21:26:52.681851	2721
2017-04-19 21:26:52.682352	2719
2017-04-19 21:26:52.686076	2726
2017-04-19 21:26:52.686579	2731
2017-04-19 21:26:52.687018	2736
2017-04-19 21:26:52.687448	2751
2017-04-19 21:26:52.689977	2745
2017-04-19 21:26:52.690411	2737
2017-04-19 21:26:52.690793	2757
2017-04-19 21:26:52.691155	2764
2017-04-19 21:26:53.193891	3827
2017-04-19 21:26:53.194283	3831
2017-04-19 21:26:53.194633	3826
2017-04-19 21:26:53.194967	3807
2017-04-19 21:26:53.197781	3822
2017-04-19 21:26:53.198162	3819
2017-04-19 21:26:53.198502	3815
2017-04-19 21:26:53.198833	3823
2017-04-19 21:26:53.199177	3809
2017-04-19 21:26:53.201943	3810
2017-04-19 21:26:53.202261	3808
2017-04-19 21:26:53.202567	3802
2017-04-19 21:26:53.202871	3809
2017-04-19 21:26:53.206092	3806
2017-04-19 21:26:53.206596	3805
2017-04-19 21:26:53.206993	3807
2017-04-19 21:26:53.207372	3802
2017-04-19 21:26:53.210077	3797
2017-04-19 21:26:53.210398	3790
2017-04-19 21:26:53.210674	3795
2017-04-19 21:26:53.210948	3789
2017-04-19 21:26:53.211218	3790
2017-04-19 21:26:53.214007	3783
2017-04-19 21:26:53.714127	1092
2017-04-19 21:26:53.714616	1091
